phone name,phone price,ram,battery,dimensions,service provider,brand name
Redmi A1,"6,499.00",2 GB,1 Lithium Polymer batteries required. (included),16.5 x 0.9 x 7.7 Centimeters,Unlocked for All Carriers,Redmi
Redmi A1,"6,499.00",2 GB,1 Lithium Polymer batteries required. (included),16.5 x 0.9 x 7.7 Centimeters,Unlocked for All Carriers,Redmi
Redmi A1,"6,499.00",2 GB,1 Lithium Polymer batteries required. (included),16.5 x 0.9 x 7.7 Centimeters,Unlocked for All Carriers,Redmi
Samsung M04,"9,499.00",4 GB,1 Lithium Ion batteries required. (included),9 x 76 x 164 Millimeters,Unlocked for All Carriers,Samsung
Redmi 10A,"8,999.00",4 GB,1 Lithium Polymer batteries required. (included),16.5 x 7.7 x 0.9 Centimeters,Unlocked for All Carriers,Redmi
